gds_jan_cd,,gdm_media_name,gds_tax_type,,,gdm_media_cd,
2002000001313,ｱｲﾄﾞﾙ,AU アイドル,1,0,0,29180,1
2002000001320,ｱﾀﾞﾙﾄ,AU アダルト,1,0,0,29190,1
2002000001337,ｶﾗｵｹ,AU カラオケ,1,0,0,29200,1
2002000001344,ﾕﾆｭｳﾊﾞﾝ,AU 輸入盤,1,0,0,29210,1
2002000001351,ｿﾉﾀ,AU その他,1,0,0,29990,1
2002000001368,ｵﾝｶﾞｸﾓﾉｾﾞﾝﾊﾟﾝ,DV 音楽物 全般,1,0,0,31010,1
2002000001375,ｴﾝｶｶﾖｳｷｮｸ,DV 演歌・歌謡曲,1,0,0,31011,1
2002000001382,Jﾎﾟｯﾌﾟ,DV Jポップ,1,0,0,31012,1
2002000001399,ﾛｯｸﾎﾟｯﾌﾟｽ,DV ロック・ポップス,1,0,0,31013,1
2002000001405,ﾌﾞﾗｯｸ,DV ブラック,1,0,0,31014,1
2002000001412,ﾜｰﾙﾄﾞﾐｭｰｼﾞｯｸ,DV ワールドミュージック,1,0,0,31015,1
2002000001429,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝ,DV ジャズ・フュージョン,1,0,0,31016,1
2002000001436,ｸﾗｼｯｸ,DV クラシック,1,0,0,31017,1
2002000001443,ｲｰｼﾞｰﾘｽﾆﾝｸﾞ,DV イージーリスニング,1,0,0,31018,1
2002000001450,ﾎｳｶﾞｾﾞﾝﾊﾟﾝ,DV 邦画 全般,1,0,0,31020,1
2002000001467,ﾎｳｶﾞSFﾌｧﾝﾀｼﾞｰ,DV 邦画SF・ファンタジー,1,0,0,31021,1
2002000001474,ﾎｳｶﾞｱｸｼｮﾝ,DV 邦画アクション,1,0,0,31022,1
2002000001481,ﾎｳｶﾞﾎﾗｰｻｽﾍﾟﾝｽ,DV 邦画ホラー・サスペンス,1,0,0,31023,1
2002000001498,ﾎｳｶﾞﾚﾝｱｲ,DV 邦画恋愛,1,0,0,31024,1
2002000001504,ﾎｳｶﾞｺﾒﾃﾞｨ,DV 邦画コメディ,1,0,0,31025,1
2002000001511,ﾎｳｶﾞｾﾝｿｳ,DV 邦画戦争,1,0,0,31026,1
2002000001528,ﾎｳｶﾞﾄﾞﾗﾏ,DV 邦画ドラマ,1,0,0,31027,1
2002000001535,ﾎｳｶﾞﾐｭｰｼﾞｶﾙ,DV 邦画ミュージカル,1,0,0,31028,1
2002000001542,ｼﾞﾀﾞｲｹﾞｷ,DV 時代劇,1,0,0,31029,1
2002000001559,ﾖｳｶﾞｾﾞﾝﾊﾟﾝ,DV 洋画 全般,1,0,0,31040,1
2002000001566,ﾖｳｶﾞSFﾌｧﾝﾀｼﾞｰ,DV 洋画SF・ファンタジー,1,0,0,31041,1
2002000001573,ﾖｳｶﾞｱｸｼｮﾝ,DV 洋画アクション,1,0,0,31042,1
2002000001580,ﾖｳｶﾞﾎﾗｰｻｽﾍﾟﾝｽ,DV 洋画ホラー・サスペンス,1,0,0,31043,1
2002000001597,ﾖｳｶﾞﾚﾝｱｲ,DV 洋画恋愛,1,0,0,31044,1
2002000001603,ﾖｳｶﾞｺﾒﾃﾞｨ,DV 洋画コメディ,1,0,0,31045,1
2002000001610,ﾖｳｶﾞｾﾝｿｳ,DV 洋画戦争,1,0,0,31046,1
2002000001627,ﾖｳｶﾞﾄﾞﾗﾏ,DV 洋画ドラマ,1,0,0,31047,1
2002000001634,ﾖｳｶﾞﾐｭｰｼﾞｶﾙ,DV 洋画ミュージカル,1,0,0,31048,1
2002000001641,ｾｲﾌﾞｹﾞｷ,DV 西部劇,1,0,0,31049,1
2002000001658,TVﾄﾞﾗﾏｺｸﾅｲ,DV TVドラマ国内,1,0,0,31061,1
2002000001665,TVﾄﾞﾗﾏｶｲｶﾞｲ,DV TVドラマ海外,1,0,0,31062,1
2002000001672,TVﾄﾞﾗﾏｿﾉﾀ,DV TVドラマその他,1,0,0,31069,1
2002000001689,ﾄｸｻﾂﾋｰﾛｰ,DV 特撮・ヒーロー,1,0,0,31070,1
2002000001696,ｱﾆﾒ,DV アニメ,1,0,0,31081,1
2002000001702,ｾｲﾕｳ,ＤＶ声優,1,0,0,31082,1
2002000001719,ｷｯｽﾞｾﾞﾝﾊﾟﾝ,DV キッズ 全般,1,0,0,31090,1
2002000001726,ﾃﾞｨｽﾞﾆｰ,DV ディズニー,1,0,0,31091,1
2002000001733,ｷｯｽﾞﾌｧﾐﾘｰ,DV キッズ・ファミリー,1,0,0,31093,1
2002000001740,ｷｮｳｲｸ,DV 教育,1,0,0,31094,1
2002000001757,ｼｭﾐﾊｳﾂｰ,DV 趣味・ハウツー,1,0,0,31101,1
2002000001764,ｷｮｳﾖｳ,DV 教養,1,0,0,31102,1
2002000001771,ｴﾝｹﾞｲﾓﾉ,DV 演芸物,1,0,0,31103,1
2002000001788,ｴﾝｹﾞｷ,DV 演劇,1,0,0,31104,1
2002000001795,BGV,DV BGV,1,0,0,31105,1
2002000001801,ｲﾒｰｼﾞ,DV イメージ,1,0,0,31106,1
2002000001818,ﾄﾞｷｭﾒﾝﾀﾘｰ,DV ドキュメンタリー,1,0,0,31110,1
2002000001825,ｽﾎﾟｰﾂ,DV スポーツ,1,0,0,31120,1
2002000001832,ｱｲﾄﾞﾙ,DV アイドル,1,0,0,31130,1
2002000001849,ｱﾀﾞﾙﾄｾﾞﾝﾊﾟﾝ,DV アダルト 全般,1,0,0,31140,1
2002000001856,ｱﾀﾞﾙﾄｼﾞｯｼｬﾓﾉ,DV アダルト実写物,1,0,0,31141,1
2002000001863,ｱﾀﾞﾙﾄｱﾆﾒ,DV アダルトアニメ,1,0,0,31142,1
2002000001870,ｶﾗｵｹ,DV カラオケ,1,0,0,31150,1
2002000001887,ﾕﾆｭｳﾊﾞﾝ,DV 輸入盤,1,0,0,31160,1
2002000001894,ｿﾉﾀ,DV その他,1,0,0,31990,1
2002000001900,ｵﾝｶﾞｸﾓﾉｾﾞﾝﾊﾟﾝ,BD 音楽物 全般,1,0,0,32010,1
2002000001917,ｴﾝｶｶﾖｳｷｮｸ,BD 演歌・歌謡曲,1,0,0,32011,1
2002000001924,Jﾎﾟｯﾌﾟ,BD Jポップ,1,0,0,32012,1
2002000001931,ﾛｯｸﾎﾟｯﾌﾟｽ,BD ロック・ポップス,1,0,0,32013,1
2002000001948,ﾌﾞﾗｯｸ,BD ブラック,1,0,0,32014,1
2002000001955,ﾜｰﾙﾄﾞﾐｭｰｼﾞｯｸ,BD ワールドミュージック,1,0,0,32015,1
2002000001962,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝ,BD ジャズ・フュージョン,1,0,0,32016,1
2002000001979,ｸﾗｼｯｸ,BD クラシック,1,0,0,32017,1
2002000001986,ｲｰｼﾞｰﾘｽﾆﾝｸﾞ,BD イージーリスニング,1,0,0,32018,1
2002000001993,ﾎｳｶﾞｾﾞﾝﾊﾟﾝ,BD 邦画 全般,1,0,0,32020,1
2002000002006,ﾎｳｶﾞSFﾌｧﾝﾀｼﾞｰ,BD 邦画SF・ファンタジー,1,0,0,32021,1
2002000002013,ﾎｳｶﾞｱｸｼｮﾝ,BD 邦画アクション,1,0,0,32022,1
2002000002020,ﾎｳｶﾞﾎﾗｰｻｽﾍﾟﾝｽ,BD 邦画ホラー・サスペンス,1,0,0,32023,1
2002000002037,ﾎｳｶﾞﾚﾝｱｲ,BD 邦画恋愛,1,0,0,32024,1
2002000002044,ﾎｳｶﾞｺﾒﾃﾞｨ,BD 邦画コメディ,1,0,0,32025,1
2002000002051,ﾎｳｶﾞｾﾝｿｳ,BD 邦画戦争,1,0,0,32026,1
2002000002068,ﾎｳｶﾞﾄﾞﾗﾏ,BD 邦画ドラマ,1,0,0,32027,1
2002000002075,ﾎｳｶﾞﾐｭｰｼﾞｶﾙ,BD 邦画ミュージカル,1,0,0,32028,1
2002000002082,ｼﾞﾀﾞｲｹﾞｷ,BD 時代劇,1,0,0,32029,1
2002000002099,ﾖｳｶﾞｾﾞﾝﾊﾟﾝ,BD 洋画 全般,1,0,0,32040,1
2002000002105,ﾖｳｶﾞSFﾌｧﾝﾀｼﾞｰ,BD 洋画SF・ファンタジー,1,0,0,32041,1
2002000002112,ﾖｳｶﾞｱｸｼｮﾝ,BD 洋画アクション,1,0,0,32042,1
2002000002129,ﾖｳｶﾞﾎﾗｰｻｽﾍﾟﾝｽ,BD 洋画ホラー・サスペンス,1,0,0,32043,1
2002000002136,ﾖｳｶﾞﾚﾝｱｲ,BD 洋画恋愛,1,0,0,32044,1
2002000002143,ﾖｳｶﾞｺﾒﾃﾞｨ,BD 洋画コメディ,1,0,0,32045,1
2002000002150,ﾖｳｶﾞｾﾝｿｳ,BD 洋画戦争,1,0,0,32046,1
2002000002167,ﾖｳｶﾞﾄﾞﾗﾏ,BD 洋画ドラマ,1,0,0,32047,1
2002000002174,ﾖｳｶﾞﾐｭｰｼﾞｶﾙ,BD 洋画ミュージカル,1,0,0,32048,1
