2022-11-02 19:02:16,659 | INFO | MOUSE EVENT CLICK: 500 500
2022-11-02 19:06:07,732 | INFO | MOUSE EVENT CLICK: 964 25

2022-11-02 19:06:08,618 | INFO | MOUSE EVENT CLICK: 33 26

2022-11-02 19:06:25,482 | INFO | MOUSE EVENT CLICK: 500 500

2022-11-02 19:06:28,212 | INFO | Data Event: 00DD20220702000058000310

2022-11-02 19:06:28,249 | INFO | Data Event: 00DD20220702000058000702

2022-11-02 19:06:28,269 | INFO | Data Event: 00DD20220702000058000232

2022-11-02 19:06:28,293 | INFO | Data Event: 00DD20220702000058000314

2022-11-02 19:06:28,315 | INFO | Data Event: 00DD20220702000058000301

2022-11-02 19:06:28,334 | INFO | Data Event: 00DD20220702000058000108

2022-11-02 19:06:28,398 | INFO | Load step 2

2022-11-02 19:06:28,648 | INFO | Data Event: 00DD20220702000058000130

2022-11-02 19:06:28,665 | INFO | Data Event: 00DD20220702000058000312

2022-11-02 19:06:28,691 | INFO | Data Event: 00DD20220702000058000601

2022-11-02 19:06:28,709 | INFO | Data Event: 00DD20220702000058000675

2022-11-02 19:06:28,728 | INFO | Data Event: 00DD20220702000058000618

2022-11-02 19:06:28,745 | INFO | Data Event: 00DD20220702000058000296

2022-11-02 19:06:28,766 | INFO | Data Event: 00DD20220702000058000408

2022-11-02 19:06:30,795 | INFO | MOUSE EVENT CLICK: 19 21

2022-11-02 19:06:31,038 | INFO | Data Event: 00DD20220702000058000299

2022-11-02 19:06:31,448 | INFO | MOUSE EVENT CLICK: 966 23

2022-11-02 19:06:31,832 | INFO | Data Event: 00DD20220702000058000104

2022-11-02 19:06:31,851 | INFO | Data Event: 00DD20220702000058000123

2022-11-02 19:06:32,194 | INFO | MOUSE EVENT CLICK: 64 36

